jd,mjd,mag,emag,corrmag,filter,UTC,redshift
2460097.782,60097.28245,16.87988479,0.032885175,18.92927018,ZTF_r,2023-06-02T06:46:43Z,0.025
2460097.783,60097.28292,16.8873997,0.032419,18.95228646,ZTF_r,2023-06-02T06:47:24Z,0.025
2460097.783,60097.28292,16.88736389,0.032418806,18.95225714,ZTF_r,2023-06-02T06:47:24Z,0.025
2460097.912,60097.41205,16.9400997,0.036548998,18.87479679,ZTF_i,2023-06-02T09:53:20Z,0.025
2460097.912,60097.41205,16.94006395,0.036548976,18.87476171,ZTF_i,2023-06-02T09:53:20Z,0.025
2460097.927,60097.42715,17.35510062,0.039786,19.19766072,ZTF_g,2023-06-02T10:15:06Z,0.025
2460097.927,60097.42715,17.35505718,0.039786004,19.19761718,ZTF_g,2023-06-02T10:15:06Z,0.025
2460099.864,60099.36396,16.96320017,0.037987001,18.85599843,ZTF_r,2023-06-04T08:44:05Z,0.025
2460099.864,60099.36396,16.96315597,0.037987094,18.85595157,ZTF_r,2023-06-04T08:44:05Z,0.025
2460099.921,60099.42126,17.35980048,0.050496999,18.94352234,ZTF_g,2023-06-04T10:06:37Z,0.025
2460099.921,60099.42126,17.35978139,0.050496854,18.94350638,ZTF_g,2023-06-04T10:06:37Z,0.025
2460100.911,60100.41051,16.96920055,0.031895,19.0517798,ZTF_i,2023-06-05T09:51:08Z,0.025
2460100.911,60100.41051,16.96917726,0.031894941,19.05175855,ZTF_i,2023-06-05T09:51:08Z,0.025
2460101.859,60101.35896,17.03960072,0.047504,18.68966105,ZTF_r,2023-06-06T08:36:53Z,0.025
2460101.859,60101.35896,17.03959893,0.047503971,18.68965994,ZTF_r,2023-06-06T08:36:53Z,0.025
2460101.95,60101.44999,17.50930026,0.056993,18.96163225,ZTF_g,2023-06-06T10:47:58Z,0.025
2460101.95,60101.44999,17.50929851,0.05699316,18.96162745,ZTF_g,2023-06-06T10:47:58Z,0.025
2460103.683,60103.18342,16.98687396,0.02242585,19.45188749,sdssr,2023-06-08T04:24:07Z,0.025
2460103.705,60103.20525,17.53440457,0.02723234,19.78857796,sdssg,2023-06-08T04:55:33Z,0.025
2460103.707,60103.20689,16.99404126,0.011780994,20.15797222,sdssr,2023-06-08T04:57:55Z,0.025
2460103.709,60103.20853,16.99491741,0.01838181,19.67583249,sdssi,2023-06-08T05:00:17Z,0.025
2460103.956,60103.4563,17.11484744,0.041925564,18.90053594,ZTF_i,2023-06-08T10:57:04Z,0.025
2460103.956,60103.4563,17.11479983,0.041926,18.90047703,ZTF_i,2023-06-08T10:57:04Z,0.025
2460104.867,60104.36745,17.1253378,0.031570986,19.21900323,ZTF_r,2023-06-09T08:49:07Z,0.025
2460104.867,60104.36745,17.12529967,0.031571001,19.21896459,ZTF_r,2023-06-09T08:49:07Z,0.025
2460108.772,60108.27198,17.71321822,0.027196238,19.96883191,sdssg,2023-06-13T06:31:38Z,0.025
2460108.774,60108.27361,17.17874218,0.013268373,20.21358382,sdssr,2023-06-13T06:34:00Z,0.025
2460108.775,60108.27524,17.12048776,0.022077789,19.60248459,sdssi,2023-06-13T06:36:21Z,0.025
2460109.762,60109.26233,17.26429955,0.025467999,19.59119827,ZTF_i,2023-06-14T06:17:45Z,0.025
2460109.762,60109.26233,17.26427686,0.025467768,19.59118542,ZTF_i,2023-06-14T06:17:45Z,0.025
2460109.846,60109.34551,17.28290992,0.043820322,19.0206068,ZTF_r,2023-06-14T08:17:32Z,0.025
2460109.846,60109.34551,17.28290035,0.043820001,19.02060518,ZTF_r,2023-06-14T08:17:32Z,0.025
2460111.93,60111.42958,17.83840009,0.044661999,19.55544049,ZTF_g,2023-06-16T10:18:35Z,0.025
2460111.93,60111.42958,17.83839834,0.044661634,19.55544762,ZTF_g,2023-06-16T10:18:35Z,0.025
2460112.82,60112.31994,17.34021377,0.044429563,19.06291946,ZTF_i,2023-06-17T07:40:42Z,0.025
2460112.82,60112.31994,17.3402007,0.044429999,19.06289573,ZTF_i,2023-06-17T07:40:42Z,0.025
2460114.791,60114.2912,17.97784464,0.055925578,19.45070423,ZTF_g,2023-06-19T06:59:19Z,0.025
2460114.791,60114.2912,17.9778005,0.055925999,19.45065192,ZTF_g,2023-06-19T06:59:19Z,0.025
2460114.849,60114.34869,17.48010114,0.035457999,19.44770138,ZTF_r,2023-06-19T08:22:06Z,0.025
2460114.849,60114.34869,17.48009164,0.03545795,19.44769337,ZTF_r,2023-06-19T08:22:06Z,0.025
2460115.782,60115.2824,17.44453866,0.030105064,19.58982557,ZTF_i,2023-06-20T06:46:38Z,0.025
2460115.782,60115.2824,17.4445005,0.030105,19.5897897,ZTF_i,2023-06-20T06:46:38Z,0.025
2460116.744,60116.24389,17.54483558,0.026621284,19.82364887,sdssr,2023-06-21T05:51:12Z,0.025
2460116.766,60116.26575,18.09399106,0.027505864,20.33731363,sdssg,2023-06-21T06:22:40Z,0.025
